"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","centerFreq0","centerFreq1","channelWidth","frequency","level"
"20190620","1728","08919","1961","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","08919","1961","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","08982","2103","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","08982","2103","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","08982","2103","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","08982","2103","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","08982","2103","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","08982","2103","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","08982","2103","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","08982","2103","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","08982","2103","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","08982","2103","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","08982","2103","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","08982","2103","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","08982","2103","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","08982","2103","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","08982","2103","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","08982","2103","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","08982","2103","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","08982","2103","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
"20190620","1728","08982","2103","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","08982","2103","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","09062","2103","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","09062","2103","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","09062","2103","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","09062","2103","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","09062","2103","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","09062","2103","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","09062","2103","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","09062","2103","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","09062","2103","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","09062","2103","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","09062","2103","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","09062","2103","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","09062","2103","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","09062","2103","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","09062","2103","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","09062","2103","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","09062","2103","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","09062","2103","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
"20190620","1728","09062","2103","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","09062","2103","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","09105","2264","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","09105","2264","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","09105","2264","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","09105","2264","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","09105","2264","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","09105","2264","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","09105","2264","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","09105","2264","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","09105","2264","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","09105","2264","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","09105","2264","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","09105","2264","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","09105","2264","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","09105","2264","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","09105","2264","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","09105","2264","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","09105","2264","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","09105","2264","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
"20190620","1728","09105","2264","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","09105","2264","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","09143","2264","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","09143","2264","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","09143","2264","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","09143","2264","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","09143","2264","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","09143","2264","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","09143","2264","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","09143","2264","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","09143","2264","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","09143","2264","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","09143","2264","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","09143","2264","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","09143","2264","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","09143","2264","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","09143","2264","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","09143","2264","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","09143","2264","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","09143","2264","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
"20190620","1728","09143","2264","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","09143","2264","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","09183","2264","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","09183","2264","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","09183","2264","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","09183","2264","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","09183","2264","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","09183","2264","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","09183","2264","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","09183","2264","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","09183","2264","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","09183","2264","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","09183","2264","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","09183","2264","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","09183","2264","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","09183","2264","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","09183","2264","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","09183","2264","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","09183","2264","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","09183","2264","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
"20190620","1728","09183","2264","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","09183","2264","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","09249","2405","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","09249","2405","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","09249","2405","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","09249","2405","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","09249","2405","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","09249","2405","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","09249","2405","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","09249","2405","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","09249","2405","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","09249","2405","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","09249","2405","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","09249","2405","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","09249","2405","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","09249","2405","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","09249","2405","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","09249","2405","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","09249","2405","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","09249","2405","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
"20190620","1728","09249","2405","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","09249","2405","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","09298","2405","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","09298","2405","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","09298","2405","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","09298","2405","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","09298","2405","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","09298","2405","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","09298","2405","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","09298","2405","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","09298","2405","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","09298","2405","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","09298","2405","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","09298","2405","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","09298","2405","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","09298","2405","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","09298","2405","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","09298","2405","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","09298","2405","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","09298","2405","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
"20190620","1728","09298","2405","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","09298","2405","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","09361","2405","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","09361","2405","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","09361","2405","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","09361","2405","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","09361","2405","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","09361","2405","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","09361","2405","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","09361","2405","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","09361","2405","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","09361","2405","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","09361","2405","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","09361","2405","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","09361","2405","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","09361","2405","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","09361","2405","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","09361","2405","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","09361","2405","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","09361","2405","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
"20190620","1728","09361","2405","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","09361","2405","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","09419","2556","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","09419","2556","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","09419","2556","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","09419","2556","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","09419","2556","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","09419","2556","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","09419","2556","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","09419","2556","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","09419","2556","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","09419","2556","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","09419","2556","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","09419","2556","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","09419","2556","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","09419","2556","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","09419","2556","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","09419","2556","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","09419","2556","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","09419","2556","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
"20190620","1728","09419","2556","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1728","09419","2556","0","DIRECT-9B-HP PageWide Pro 477dw","96:57:a5:7f:39:9b","0","0","0","2467","-89"
"20190620","1728","09455","2556","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-59"
"20190620","1728","09455","2556","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-46"
"20190620","1728","09455","2556","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-49"
"20190620","1728","09455","2556","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-48"
"20190620","1728","09455","2556","0","ollehWiFi ","00:25:a6:c7:19:3e","0","0","0","2452","-72"
"20190620","1728","09455","2556","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-62"
"20190620","1728","09455","2556","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-62"
"20190620","1728","09455","2556","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-62"
"20190620","1728","09455","2556","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-62"
"20190620","1728","09455","2556","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-63"
"20190620","1728","09455","2556","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-63"
"20190620","1728","09455","2556","0","KT WiFi ","06:30:0d:cf:33:71","0","0","0","2452","-63"
"20190620","1728","09455","2556","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-63"
"20190620","1728","09455","2556","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-64"
"20190620","1728","09455","2556","0","KT WiFi","00:30:0d:cf:33:70","0","0","0","2452","-64"
"20190620","1728","09455","2556","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-68"
"20190620","1728","09455","2556","0","ollehWiFi","00:25:a6:c7:19:3d","0","0","0","2452","-69"
"20190620","1728","09455","2556","0","KT_GiGA_2G_FEE1","88:3c:1c:79:fe:e4","0","0","0","2427","-81"
